	faith_pd
10317.000047004.4033	16.77193
10317.000039664.30606	6.304199999999999
10317.000032897.3099	20.48039
10317.000062987.50470	13.076470000000002
10317.000027908.3020	21.094419999999996
10317.000083038.48742	14.34028
10317.000038234.25501	7.978509999999999
10317.000010418.26483	7.15525
10317.000030245.2982	14.904100000000001
10317.000022604.3020	10.445980000000002
10317.000067007.45578	13.534920000000003
10317.000029559.3022	14.98569
10317.000002849.2948	18.04138
10317.000005937.2932	9.06436
10317.000093566.53379	10.353930000000002
10317.000067780.26479	17.539299999999997
10317.000002011.25853	9.453619999999999
10317.000047797.25853	16.688159999999996
10317.000098919.56079	17.28648
10317.000008959B.2946	18.28317
10317.000015653.32954	9.489400000000002
10317.000043012.4016	15.558110000000001
10317.000008982.2907	11.55191
10317.000002631.2948	12.152339999999999
10317.000033092.25501	7.944309999999999
10317.000031165.2982	12.582329999999999
10317.000039886.25498	10.672550000000001
10317.000090033.48742	5.67014
10317.000015450.2919	16.531019999999998
10317.000031493.3516	13.068210000000002
10317.000032753.32981	17.28303
10317.000018039.2921	19.63225
10317.000040090.4016	17.347009999999997
10317.000083082.48742	16.251209999999997
10317.000004250.2923	12.27442
10317.000021550.2988	19.46651
10317.000038043.4016	14.11403
10317.000050481.46739	30.302850000000007
10317.000012286.2911	11.836689999999997
10317.000031515.2982	11.701359999999998
10317.000027648.3020	11.92529
10317.000023392.3020	12.20527
10317.000033552.26484	16.46137
10317.000039745.31503	14.96838
10317.000090544.52698	12.286059999999997
10317.000066920.26480	7.182319999999999
10317.000042751.26484	12.327470000000002
10317.000001987.2948	19.02505
10317.000023751.45578	19.96481
10317.000007560.26483	12.44472
10317.000071893.30606	12.79
10317.000076289.48742	18.21625
10317.000023234.2988	5.552
10317.000090117.52698	15.46729
10317.000030299.3022	22.504920000000002
10317.000030703.3516	18.30458
10317.000007839.2926	24.683959999999995
10317.000067654.26479	18.992369999999994
10317.000039590.25498	21.153100000000002
10317.000098758.56187	14.030569999999997
10317.000093043.56079	15.04433
10317.000010435.32954	12.818449999999999
10317.000030959.3099	14.869559999999998
10317.000018402.2988	7.77827
10317.000068179.26480	13.11611
10317.000076282.42299	18.346719999999998
10317.000046868.4033	15.721869999999997
10317.000047027.4033	15.305089999999998
10317.000030965.3516	18.741890000000005
10317.000086675.51570	18.58773
10317.000005165.2960	23.410919999999997
10317.000022607.3018	21.02569
10317.000101056.56187	17.708639999999995
10317.000028405.3022	9.73117
10317.000102623.56187	11.277769999999999
10317.000026011.3018	18.018899999999995
10317.000067857.26479	14.29202
10317.000027819.2982	15.57877
10317.000097073.62401	6.832960000000001
10317.000033146.7852	14.43898
10317.000097283.54638	10.22826
10317.000065673.25853	12.501319999999998
10317.000001673.2932	14.263770000000001
10317.000072148.50470	11.70325
10317.000021552.2988	15.50184
10317.000073787.33800	14.2384
10317.000023578.25370	9.78559
10317.000027760.3022	16.353330000000003
10317.000030511.3516	13.690459999999998
10317.000066471.25853	9.04482
10317.000037494.3098	5.976559999999999
10317.000083062.48742	14.17106
10317.000068047.30606	15.943740000000002
10317.000084280.42298	15.832559999999999
10317.000041317.4016	13.579999999999998
10317.000027641.3020	17.26812
10317.000051067.46739	7.500759999999998
10317.000052147.50470	12.84079
10317.000072087.48742	10.19737
10317.000014183.2917	12.26146
10317.000020773.2988	18.29231
10317.000014258.2917	18.172079999999998
10317.000068524.53379	20.894879999999993
10317.000042906.26531	18.390679999999996
10317.000047025.4033	16.859460000000002
10317.000006666.2960	12.939340000000001
10317.000029465.3099	14.20948
10317.000049936.4021	7.64614
10317.000022923.3098	11.47962
10317.000048122.26531	14.6478
10317.000074530.41931	18.20138
10317.000065856.25853	17.30678
10317.000028882.3022	18.134079999999997
10317.000068132.26479	13.575410000000002
10317.000010840.2932	12.14517
10317.000074388.45578	13.585740000000001
10317.000013604.2911	6.91198
10317.000007791.2926	9.755209999999998
10317.000003897.2919	16.448539999999998
10317.000054282.31503	16.08412
10317.000086660.51570	19.43049
10317.000020748.26478	4.15198
10317.000051183.4021	7.801070000000001
10317.000039601.25498	14.538879999999999
10317.000022188.3020	4.365569999999999
10317.000031311.2982	15.757019999999999
